feature,importance,std
rain_7d,0.04941860465116277,0.0068659519327519
ndvi,0.022330866807610983,0.0032768490400732525
vv_anomaly,0.022198731501057084,0.001830920515400493
soil_moisture_subsurface,0.014138477801268465,0.001392131838379038
elevation,0.01083509513742073,0.0011519288962845463
rain_15d,0.00951374207188159,0.0025893126245065375
rain_1d,0.008720930232558113,0.0032041109019508972
rain_30d,0.007663847780126853,0.004318217399145938
slope,0.006738900634249437,0.001489089279807713
factor_of_safety,0.0059460887949259605,0.0011744442940427708
soil_moisture_surface,0.005417547568710351,0.0024471801238705026
dist_to_road_m,0.004889006342494673,0.001489089279807687
slope_max_nbhd,0.004492600422832976,0.001959883321114046
relief_nbhd,0.004228329809725151,0.0020470313669172196
aspect,0.0034355179704016886,0.0006991943211058251
slope_mean_nbhd,0.003171247357293877,0.0009154602577002306
rain_3d,0.0017177589852008374,0.0017479858027646406
