id,date,location,state,lat,lon,predicted_probability,fatalities,trigger,type,location_accuracy
GLC3881,2011-08-05,Itanagar,Arunachal Pradesh,27.1034,93.6885,0.9854835605429831,0.0,downpour,landslide,5km
GLC1935,2010-06-03,"atharamura hills, Highway 44, Tripura",Tripura,23.8986,91.7599,0.9818015721803576,0.0,downpour,landslide,5km
GLC3269,2011-03-22,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district",Arunachal Pradesh,28.0791,96.5242,0.9806115169653509,0.0,downpour,landslide,10km
GLC3776,2011-07-15,Itanagar/Naharlagur/Nirjuli,Arunachal Pradesh,27.125,93.7145,0.9803433489027715,0.0,downpour,landslide,5km
GLC4857,2013-05-11,"Laipuitland , Aizawl, Mizoram",Mizoram,23.7281,92.7175,0.9799827838722349,15.0,rain,landslide,25km
GLC731,2008-08-19,"Akuk village, Wokha District, Nagaland",Nagaland,26.138,94.25,0.9782213730471269,4.0,downpour,mudslide,50km
LS11,2024-05-28,Republic Veng cemetery,Mizoram,23.73,92.72,0.9762047347766996,0.0,Cyclone Remal,Multiple slides,exact
GLC1770,2010-04-20,"Kharghuli, Guwahati, Assam",Assam,26.1965,91.763,0.975807514796243,0.0,downpour,landslide,1km
GLC2296,2010-08-20,"many locations around Namchi, Sikkim",Sikkim,27.167,88.3652,0.9756483917098373,0.0,downpour,complex,10km
GLC3806,2011-07-19,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Secto",Arunachal Pradesh,27.1032,93.6884,0.9749836746063232,3.0,downpour,landslide,10km
GLC4426,2012-06-22,Lalunggaon near Gorchuk area,Assam,26.1226,91.7162,0.9734814212141241,3.0,downpour,landslide,5km
GLC3789,2011-07-16,Mebua (8 km from Seppa),Arunachal Pradesh,27.2743,92.9064,0.9726948630464046,0.0,downpour,landslide,10km
GLC6288,2014-09-22,Noonmati,Assam,26.1985,91.7998,0.971725269826327,0.0,rain,landslide,5km
GLC585,2008-06-14,"Itanagar-Naharlagun, Arunachal Pradesh",Arunachal Pradesh,27.0998,93.6287,0.9712816009751987,21.0,rain,landslide,25km
GLC2042,2010-07-06,"Zunheboto, Nagaland",Nagaland,26.0093,94.5238,0.9711738758932252,0.0,monsoon,mudslide,5km
GLC3925,2011-08-15,"East Kameng, Arunachal Pradesh",Arunachal Pradesh,27.4888,93.0153,0.9709633908280321,0.0,downpour,landslide,50km
GLC6284,2014-09-22,Batahghuli,Assam,26.1324,91.8342,0.9707292061213554,0.0,rain,landslide,5km
GLC5005,2013-07-01,"Walo Ward, Mon Town, Wokha District, Nagaland",Nagaland,26.72,95.029,0.9701182610666638,0.0,downpour,landslide,5km
GLC6283,2014-09-22,Dakhingaon,Assam,26.1314,91.7548,0.9701062640138914,0.0,rain,landslide,1km
GLC2045,2010-07-06,"Tuensang, Nagaland",Nagaland,26.2363,94.8133,0.96999600114749,0.0,monsoon,mudslide,5km
GLC4434,2012-06-25,"Sonaighuli area near Kahilipara, Guwahati City, Assam",Assam,26.1049,91.7369,0.9675975122181538,1.0,downpour,landslide,1km
GLC2026,2010-06-28,"Borsorsa(?), West Khasi Hills, Meghalaya",Meghalaya,25.4916,91.2698,0.9674660982540112,0.0,downpour,landslide,50km
GLC6287,2014-09-22,Dhirenpara,Assam,26.1295,91.7056,0.9673751641460633,0.0,rain,landslide,5km
GLC5427,2013-08-15,"Koide Government High School, Senapati, Manipur",Nagaland,25.3833,94.1884,0.9673599046326785,0.0,downpour,landslide,5km
GLC6286,2014-09-22,Garchuk,Assam,26.1044,91.7082,0.9673010473561594,0.0,rain,landslide,5km
GLC2579,2010-10-09,"Lower Pezielietsie(Tinpati), Kohima, Manipur",Nagaland,25.682,94.1076,0.9663599192487429,0.0,downpour,landslide,1km
GLC2205,2010-08-06,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",Mizoram,23.7365,92.7146,0.9657984630690553,0.0,downpour,landslide,1km
GLC6969,2015-06-16,"Nakham Bazaar, Tura, Meghalaya",Meghalaya,25.5114,90.215,0.9657268120159993,4.0,downpour,landslide,1km
GLC1771,2010-04-20,"Raj Bhavan Guwahati, Assam",Assam,26.1978,91.7665,0.9654527002235898,0.0,downpour,landslide,exact
GLC1112,2009-08-20,"NH31A, Mile 27 near Rambi",Sikkim,27.1761,88.5287,0.9652557300316991,0.0,downpour,mudslide,25km
GLC5268,2013-08-04,"Zunheboto, Nagaland",Nagaland,26.0137,94.5163,0.965156748246017,0.0,continuous_rain,landslide,25km
LS8,2024-05-28,Salem Veng,Mizoram,23.74,92.72,0.9649314092659157,3.0,Cyclone Remal,Building collapse,exact
GLC1934,2010-06-03,Rongpur village under Bhairabhnagar panchayat in Karimganj district,Assam,24.6005,92.3814,0.9646205486223869,2.0,downpour,landslide,25km
GLC3738,2011-07-06,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",Manipur,24.8063,93.9482,0.9645252350975799,6.0,downpour,landslide,50km
GLC147,2007-07-30,Lawngtlai,Mizoram,22.533,92.899,0.9624594358274321,0.0,downpour,landslide,25km
GLC4858,2013-05-11,"Nursery, North Guwahati, Guwahati, Assam,",Assam,26.1662,91.7138,0.9618351665664925,0.0,rain,landslide,50km
GLC5272,2013-08-04,"Longsa, Nagaland",Nagaland,26.2083,94.5438,0.9603626136690282,0.0,monsoon,landslide,1km
GLC2578,2010-10-09,"NH-39 in Karong area, Manipur",Nagaland,25.3179,94.0462,0.960102960560029,0.0,downpour,landslide,5km
GLC1775,2010-04-21,Arunachal Pradesh,Arunachal Pradesh,27.8965,96.1779,0.9592414248041181,12.0,downpour,landslide,unknown
GLC1954,2010-06-07,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",Manipur,24.7543,93.5039,0.958509266266651,0.0,rain,landslide,50km
GLC2345,2010-08-27,"Daragaon(?), Gangtok city, Sikkim",Sikkim,27.3392,88.6188,0.956437558896271,0.0,downpour,landslide,5km
GLC2424,2010-09-13,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",Mizoram,23.591,92.9296,0.9557729271318798,0.0,downpour,landslide,25km
GLC5123,2013-07-17,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Nagaland,25.7131,94.0885,0.9555420668335539,0.0,rain,mudslide,50km
GLC3663,2011-06-28,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",Nagaland,25.6682,94.1099,0.9553192723250582,0.0,downpour,landslide,50km
GLC2421,2010-09-13,"road to Muanna Godown, Zuangtui, Mizoram",Mizoram,23.75406693,92.74128531,0.9549753609504785,0.0,downpour,landslide,1km
GLC2436,2010-09-16,"Taithu village, Churanchandpur district, Mizoram, Manipur",Mizoram,24.3069,93.125,0.9544416465973076,0.0,downpour,landslide,5km
GLC4436,2012-06-25,"Khonsa, Arunachal Pradesh",Arunachal Pradesh,26.9986,95.4993,0.950732342636895,0.0,downpour,landslide,50km
GLC5087,2013-07-12,"National Highway 29 Near Phesama Village, Nagaland",Nagaland,25.6269,94.1139,0.9501974723633032,0.0,downpour,landslide,10km
GLC1994,2010-06-16,"rails between Jatinga and Longrangjao(?), Assam",Assam,25.0633,92.8025,0.9500530668431206,0.0,downpour,landslide,25km
GLC2437,2010-09-16,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",Mizoram,23.7527,92.694,0.9493596406483072,0.0,downpour,landslide,5km
GLC1961,2010-06-09,"Ishok Chingphu(?), Bishnupur, Assam",Meghalaya,25.8833,91.2,0.9484489690817182,0.0,downpour,landslide,50km
GLC4845,2013-05-07,"Kolasib, Saiha, Mizoram,",Mizoram,24.2315,92.6755,0.948178243431839,0.0,rain,mudslide,50km
GLC5084,2013-07-12,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagalan",Nagaland,25.616,94.1167,0.9475673312093684,0.0,downpour,landslide,10km
GLC3912,2011-08-12,East Kameng district in Arunachal Pradesh bordering China,Arunachal Pradesh,27.44,92.2833,0.9473030871735005,0.0,rain,landslide,50km
GLC4556,2012-09-16,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",Sikkim,27.1675,88.3651,0.9468094602760779,0.0,downpour,landslide,5km
GLC2140,2010-07-25,"road between Halfong and Redzol(?) or Silchar, Assam",Assam,25.0477,92.801,0.9451066209190577,0.0,downpour,landslide,25km
GLC2423,2010-09-13,"road to Kanan Veng from Hunthar Veng, Mizoram",Mizoram,23.73504471,92.71060943,0.9443890162161719,0.0,downpour,landslide,1km
GLC4990,2013-06-27,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",Sikkim,27.3765,88.7628,0.9443162343813143,0.0,downpour,landslide,1km
GLC2166,2010-07-29,"Highway 53 at Tupul, Tamenglong district",Assam,24.9786,93.5027,0.9438166371396938,0.0,downpour,landslide,10km
GLC247,2007-09-08,"Lower Shajouba village near Tadubi along NH 39, Manipur",Manipur,25.0604,93.9877,0.943140812755514,0.0,rain,landslide,50km
