id,location,lat,lon,state,live_risk,as_of_date
GLC57,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,Sikkim,0.4140052491759978,2026-09-02
GLC78,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,Sikkim,0.44804675496145874,2026-09-02
GLC126,Bardang near Singtam,27.1499,88.38,Sikkim,0.250183408561189,2026-09-02
GLC141,Singtam,25.38,91.88,Meghalaya,0.4195861369632259,2026-09-02
GLC147,Lawngtlai,22.533,92.899,Mizoram,0.5181322878850327,2026-09-02
GLC148,Saiha,22.479,92.967,Mizoram,0.27915693088112487,2026-09-02
GLC212,National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506,Meghalaya,0.5807235832974588,2026-09-02
GLC213,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,Assam,0.29142496035055676,2026-09-02
GLC215,Phesema area at National Highway 39,25.7428,93.9136,Nagaland,0.26234795321668125,2026-09-02
GLC220,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,Manipur,0.08800532896761606,2026-09-02
GLC247,"Lower Shajouba village near Tadubi along NH 39, Manipur",25.0604,93.9877,Manipur,0.16911243803548198,2026-09-02
GLC256,Rhodong village near Rhey in East Sikkim,27.3425,88.6236,Sikkim,0.572151304993926,2026-09-02
GLC255,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,24.2451,94.0691,Manipur,0.5191367150830916,2026-09-02
GLC258,"NH-39 at Imphal-Moreh section, Lokchao largest event",24.4279,94.0564,Manipur,0.23251594028078487,2026-09-02
GLC269,Geyzing-Jorethang road and Naya Bazar-Legship road,27.2872,88.2816,Sikkim,0.4413072715398896,2026-09-02
GLC285,"National Highway, 45 Aizwal (Mizoram)",24.1293,92.6921,Mizoram,0.4150699370717394,2026-09-02
GLC322,National Highway 53 at Nungba in Tamenglong district of Manipur,24.75,93.4333,Assam,0.2852107464201809,2026-09-02
GLC545,"A Cachar District village, near village of Srinager, Assam",24.9849,92.8411,Assam,0.22825341659436887,2026-09-02
GLC580,"near Kuloor church, in Manipur along National Highway",24.6596,93.9784,Manipur,0.28578476039276396,2026-09-02
GLC585,"Itanagar-Naharlagun, Arunachal Pradesh",27.0998,93.6287,Arunachal Pradesh,0.26936096908905155,2026-09-02
GLC587,"Lakhimpur district, Bihpuria, Assam",27.2298,94.0989,Assam,0.486497821945607,2026-09-02
GLC594,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",24.9336,93.8275,Manipur,0.0748435767573954,2026-09-02
GLC692,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",25.705,94.04,Nagaland,0.22826618954763844,2026-09-02
GLC714,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunacha",27.163,94.0,Assam,0.35643876375425976,2026-09-02
GLC731,"Akuk village, Wokha District, Nagaland",26.138,94.25,Nagaland,0.3446581229510187,2026-09-02
GLC755,"Ranka, Sikkim and Louing road",27.337,88.609,Sikkim,0.47060848563289837,2026-09-02
GLC760,"Kohima, Nagaland",25.67,94.1066,Nagaland,0.6012476110727136,2026-09-02
GLC870,"West Kameng, Arunachal Pradesh",27.4,92.35,Arunachal Pradesh,0.3017666159978417,2026-09-02
GLC869,North Lakhimpur,27.2333,94.1167,Assam,0.41316422672136865,2026-09-02
GLC868,"Kamrup, and Sonitpur, Assam",26.3333,91.25,Assam,0.3179460232600825,2026-09-02
GLC1061,"4th Mile, Lower Mangshila in North Sikkim",27.478,88.527,Sikkim,0.4380189658842221,2026-09-02
GLC1084,"Upper Subansiri District, Arunanchal Pradesh",27.7,92.8,Arunachal Pradesh,0.31657203734123834,2026-09-02
GLC1109,Lumding-Badarpur section in North Cachar Hills district,25.5215,93.1645,Assam,0.06984536291470153,2026-09-02
GLC1112,"NH31A, Mile 27 near Rambi",27.1761,88.5287,Sikkim,0.4013309989605648,2026-09-02
GLC1108,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",24.9925,93.5,Assam,0.2193049778402965,2026-09-02
GLC1125,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim",27.3746,88.7648,Sikkim,0.4363831256901936,2026-09-02
GLC1127,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),25.1718,93.123,Assam,0.15155389225147867,2026-09-02
GLC1129,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",24.8628,94.4182,Manipur,0.4676648437004291,2026-09-02
GLC1168,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",27.1954,88.6115,Sikkim,0.4078552124256315,2026-09-02
GLC1222,"Chhinga Veng, Aizawl",23.73478778,92.72124394,Mizoram,0.4974161470838963,2026-09-02
GLC1596,"LangthAbal Khoupum, Imphal, Manipur",24.7339,93.9161,Manipur,0.3627285920686159,2026-09-02
GLC1611,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could onl",25.1553,93.028,Assam,0.12926187768693478,2026-09-02
GLC1613,"Koloriang, Kuring Kumey district, Arunachal Pradesh",27.8997,93.3497,Arunachal Pradesh,0.25809048111153265,2026-09-02
GLC1755,"Natl. Highway 31-A at Pani House(?), Gangtok",27.3341,88.6083,Sikkim,0.44436087126961643,2026-09-02
GLC1756,"Nam Nang, Gangtok",27.322,88.6087,Sikkim,0.4041538594038102,2026-09-02
GLC1771,"Raj Bhavan Guwahati, Assam",26.1978,91.7665,Assam,0.23704058506564776,2026-09-02
GLC1770,"Kharghuli, Guwahati, Assam",26.1965,91.763,Assam,0.24698385723810723,2026-09-02
GLC1775,Arunachal Pradesh,27.8965,96.1779,Arunachal Pradesh,0.36675384062087907,2026-09-02
GLC1857,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",25.3433,92.2897,Meghalaya,0.20550330989075266,2026-09-02
GLC1930,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh",28.4298,95.8776,Arunachal Pradesh,0.2903861617342434,2026-09-02
GLC1929,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",27.3543,88.6428,Sikkim,0.46261225466691813,2026-09-02
GLC1935,"atharamura hills, Highway 44, Tripura",23.8986,91.7599,Tripura,0.5354413635736902,2026-09-02
GLC1934,Rongpur village under Bhairabhnagar panchayat in Karimganj district,24.6005,92.3814,Assam,0.35444169564622235,2026-09-02
GLC1954,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",24.7543,93.5039,Manipur,0.258213444850366,2026-09-02
GLC1961,"Ishok Chingphu(?), Bishnupur, Assam",25.8833,91.2,Meghalaya,0.5603200280394792,2026-09-02
GLC1994,"rails between Jatinga and Longrangjao(?), Assam",25.0633,92.8025,Assam,0.24222488684723623,2026-09-02
GLC1996,"Shayoung Ward(?), Longleng, Nagaland",26.4333,94.8833,Nagaland,0.4122250516135193,2026-09-02
GLC2025,"Police CID complex(?), Shillong, Meghalaya",25.5728,91.885,Meghalaya,0.632536336929458,2026-09-02
GLC2026,"Borsorsa(?), West Khasi Hills, Meghalaya",25.4916,91.2698,Meghalaya,0.2580887723639491,2026-09-02
GLC2045,"Tuensang, Nagaland",26.2363,94.8133,Nagaland,0.478797578585336,2026-09-02
GLC2044,"Kiphire,  Nagaland",25.8877,94.7861,Nagaland,0.3963486374852312,2026-09-02
GLC2042,"Zunheboto, Nagaland",26.0093,94.5238,Nagaland,0.4276907721743759,2026-09-02
GLC2098,"Jahjon ward(?), Mon town, Nagaland",26.7215,95.0283,Nagaland,0.3703313085207781,2026-09-02
GLC2106,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",26.8716,94.9921,Nagaland,0.26773654385787227,2026-09-02
GLC2113,"Singtam-Mangan rd, Sikkim",27.3773,88.559,Sikkim,0.3994346722434257,2026-09-02
GLC2112,"Zang(?), east Sikkim",27.5509,88.6475,Sikkim,0.36859922182682353,2026-09-02
GLC2140,"road between Halfong and Redzol(?) or Silchar, Assam",25.0477,92.801,Assam,0.22010744361912318,2026-09-02
GLC2164,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677,Manipur,0.4162397785493923,2026-09-02
GLC2166,"Highway 53 at Tupul, Tamenglong district",24.9786,93.5027,Assam,0.23461180218103572,2026-09-02
GLC2182,Dimapur-Imphal highway (NH 39) near Manipur,24.9356,93.8443,Manipur,0.08475014620269812,2026-09-02
GLC2205,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",23.7365,92.7146,Mizoram,0.5112082861751817,2026-09-02
GLC2243,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagalan",25.70223725,94.04619681,Nagaland,0.27457727439478324,2026-09-02
GLC2249,"Kiphire-Tuensang rd, Nagaland",26.0814,94.803,Nagaland,0.43011349507782376,2026-09-02
GLC2248,"Noklak-Tuensang road, Nagaland",26.222,94.9152,Nagaland,0.32359783383952306,2026-09-02
GLC2253,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.31006064,94.48265093,Manipur,0.42093661315303244,2026-09-02
GLC2282,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",26.1984,94.8158,Nagaland,0.4321507493041735,2026-09-02
GLC2283,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",24.8961,93.4957,Manipur,0.3662750103840564,2026-09-02
GLC2281,"Kisima, Nagaland",25.61560252,94.11603493,Nagaland,0.5796490864956346,2026-09-02
GLC2296,"many locations around Namchi, Sikkim",27.167,88.3652,Sikkim,0.3596626747287226,2026-09-02
GLC2304,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",25.5718,94.1211,Nagaland,0.21665241086307105,2026-09-02
GLC2344,"NH-53 at Nungba police station, Kambirong(?), Manipur",24.7505,93.4221,Assam,0.3038657823707779,2026-09-02
GLC2343,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",25.4786,94.1327,Nagaland,0.10497053322304759,2026-09-02
GLC2345,"Daragaon(?), Gangtok city, Sikkim",27.3392,88.6188,Sikkim,0.42416483182234743,2026-09-02
GLC2392,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",27.3702,88.7334,Sikkim,0.46355139039647997,2026-09-02
GLC2405,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",28.3036,95.4112,Arunachal Pradesh,0.4190973943626963,2026-09-02
GLC2411,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",27.0011,93.7273,Arunachal Pradesh,0.22654671944292867,2026-09-02
GLC2424,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",23.591,92.9296,Mizoram,0.3328365927246446,2026-09-02
GLC2421,"road to Muanna Godown, Zuangtui, Mizoram",23.75406693,92.74128531,Mizoram,0.6145933921166178,2026-09-02
GLC2422,"Hunthar Veng, Mizoram",23.74182634,92.7141905,Mizoram,0.5099399635001016,2026-09-02
GLC2426,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",22.7176,92.8416,Mizoram,0.3596831519307685,2026-09-02
GLC2423,"road to Kanan Veng from Hunthar Veng, Mizoram",23.73504471,92.71060943,Mizoram,0.48183003060023566,2026-09-02
GLC2425,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",23.3439,93.0748,Mizoram,0.23567115478503248,2026-09-02
GLC2436,"Taithu village, Churanchandpur district, Mizoram, Manipur",24.3069,93.125,Mizoram,0.3946871105177738,2026-09-02
GLC2437,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",23.7527,92.694,Mizoram,0.4846508071805852,2026-09-02
GLC2566,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",25.4769,94.1351,Nagaland,0.18255925980859558,2026-09-02
GLC2567,"Phek, Manipur",25.6633,94.4703,Manipur,0.2959009908884446,2026-09-02
GLC2570,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",24.837,93.9128,Manipur,0.23814865799945661,2026-09-02
GLC2569,"Bungte Chiru village(?), Senapati district, Manipur",25.2745,94.0212,Nagaland,0.17245643780412753,2026-09-02
GLC2568,"Nungba, Tamenglong, Manipur",24.7679,93.4108,Assam,0.27492905265860856,2026-09-02
GLC2578,"NH-39 in Karong area, Manipur",25.3179,94.0462,Nagaland,0.15817718253863394,2026-09-02
GLC2575,"road between Haflong and Lanka, Assam",25.5242,92.9914,Assam,0.21708921707550935,2026-09-02
GLC2577,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",25.5265,93.8673,Nagaland,0.16386454526366812,2026-09-02
GLC2576,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",25.4788,94.1399,Nagaland,0.15607563736141372,2026-09-02
GLC2579,"Lower Pezielietsie(Tinpati), Kohima, Manipur",25.682,94.1076,Nagaland,0.6030920043920607,2026-09-02
GLC2587,"Lower Chandmari area, PWD department, Kohima, Manipur",25.6623,94.1072,Nagaland,0.5205495886191546,2026-09-02
GLC2743,"Tawang Monastery, Arunachal Pradesh",27.5798729,91.85672387,Arunachal Pradesh,0.21055184902400226,2026-09-02
GLC3269,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district",28.0791,96.5242,Arunachal Pradesh,0.4612257307062391,2026-09-02
GLC3525,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",25.0672,93.4093,Assam,0.12183818271487175,2026-09-02
GLC3532,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",25.0888,92.8551,Assam,0.18629261941000286,2026-09-02
GLC3560,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",24.8286,93.5935,Manipur,0.2533906530679479,2026-09-02
GLC3556,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",25.1555,93.8474,Manipur,0.12923282613460793,2026-09-02
GLC3633,Mokokchung,26.3186,94.5121,Nagaland,0.5095571235447234,2026-09-02
GLC3637,"Lasumi village in Phek district, Kohima",25.51614662,94.2341227,Nagaland,0.1579205236857408,2026-09-02
GLC3663,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",25.6682,94.1099,Nagaland,0.40410831899574107,2026-09-02
GLC3662,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",25.03561729,94.0144205,Manipur,0.1452634880069973,2026-09-02
GLC3672,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",25.5125,93.3613,Assam,0.16363226139412826,2026-09-02
GLC3683,NH-61 between Botsa and Chiechama,25.8782,94.1739,Nagaland,0.2816340403191959,2026-09-02
GLC3738,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",24.8063,93.9482,Manipur,0.28566562782633953,2026-09-02
GLC3741,Maram (80 km north of Imphal),25.4191,94.1079,Nagaland,0.12569888738269175,2026-09-02
