id,storm_rain_1d,storm_rain_3d,storm_rain_7d
GLC57,8.39,26.55,35.77
GLC78,2.42,8.81,45.83
GLC126,27.49,91.1,168.72
GLC141,243.84,389.21,467.65
GLC147,17.6,60.52,129.22
GLC148,13.7,53.56,110.2
GLC212,7.67,33.81,123.02
GLC213,34.19,101.46,111.23
GLC215,13.4,54.03,99.9
GLC220,49.4,98.06,154.23
GLC247,17.07,111.4,141.12
GLC256,9.96,75.82,170.81
GLC255,2.19,41.57,246.61
GLC258,7.83,26.26,171.77
GLC269,20.67,49.71,141.6
GLC285,103.12,106.64,118.64
GLC322,27.1,33.96,127.44
GLC545,41.39,50.87,52.74
GLC580,48.73,62.45,74.46
GLC585,332.2,420.34,448.5
GLC587,49.55,316.27,356.68
GLC594,15.54,42.57,104.25
GLC692,9.13,25.99,94.81
GLC714,5.97,197.39,267.19
GLC731,73.18,91.75,154.12
GLC755,10.66,68.58,116.61
GLC760,6.92,16.07,76.29
GLC870,4.71,134.83,143.28
GLC869,0.17,69.13,89.72
GLC868,0.02,82.13,91.45
GLC1061,7.71,34.19,44.42
GLC1084,30.45,41.53,99.95
GLC1109,34.39,56.24,102.23
GLC1112,145.0,192.07,299.43
GLC1108,10.92,33.93,128.25
GLC1125,23.39,75.75,228.86
GLC1127,21.8,52.07,84.38
GLC1129,51.08,59.9,117.34
GLC1168,6.42,15.59,37.32
GLC1222,79.33,104.79,112.48
GLC1596,0.0,0.03,1.94
GLC1611,104.87,211.78,308.63
GLC1613,16.86,29.77,104.92
GLC1755,2.33,9.45,31.85
GLC1756,2.33,39.98,63.38
GLC1771,112.73,226.16,320.87
GLC1770,112.73,226.16,320.87
GLC1775,87.49,141.95,194.01
GLC1857,11.88,59.18,109.89
GLC1930,7.26,21.08,105.39
GLC1929,4.9,6.88,50.53
GLC1935,56.32,99.57,243.76
GLC1934,121.54,203.18,228.03
GLC1954,108.45,163.4,255.82
GLC1961,53.45,123.81,346.56
GLC1994,30.18,57.63,146.7
GLC1996,19.92,91.6,147.05
GLC2025,137.93,290.29,368.9
GLC2026,124.33,187.93,338.17
GLC2045,30.91,53.79,87.97
GLC2044,10.31,31.55,96.26
GLC2042,48.8,59.04,108.74
GLC2098,32.73,52.05,141.57
GLC2106,35.71,117.2,163.88
GLC2113,20.13,60.76,94.0
GLC2112,20.13,56.16,77.66
GLC2140,14.25,37.32,113.15
GLC2164,22.09,26.25,111.8
GLC2166,58.95,66.36,106.31
GLC2182,37.68,111.76,132.26
GLC2205,46.25,118.09,165.04
GLC2243,40.18,72.36,86.75
GLC2249,56.28,65.95,103.89
GLC2248,98.38,118.53,135.11
GLC2253,23.18,43.83,62.89
GLC2282,31.97,51.82,156.74
GLC2283,14.37,47.25,194.59
GLC2281,16.38,25.2,103.81
GLC2296,25.51,118.14,185.1
GLC2304,32.89,60.88,112.49
GLC2344,8.37,25.62,60.09
GLC2343,7.35,32.55,95.58
GLC2345,39.94,78.81,149.45
GLC2392,9.19,35.05,100.03
GLC2405,118.56,198.19,270.38
GLC2411,83.93,105.61,263.82
GLC2424,16.56,37.73,172.84
GLC2421,18.21,28.87,114.47
GLC2422,18.21,28.87,114.47
GLC2426,57.52,68.14,108.7
GLC2423,18.21,28.87,114.47
GLC2425,26.03,45.6,172.84
GLC2436,54.73,144.16,190.79
GLC2437,29.14,108.15,133.65
GLC2566,39.97,104.87,115.43
GLC2567,42.29,96.58,107.27
GLC2570,49.15,100.58,100.71
GLC2569,35.81,101.06,105.3
GLC2568,48.38,94.78,94.98
GLC2578,75.71,173.61,180.09
GLC2575,116.59,161.73,174.47
GLC2577,116.9,183.23,189.9
GLC2576,94.11,189.19,200.59
GLC2579,96.77,189.19,200.59
GLC2587,0.69,124.93,193.46
GLC2743,3.1,5.95,7.48
GLC3269,111.36,259.45,307.06
GLC3525,98.07,158.74,170.72
GLC3532,75.53,106.46,162.68
GLC3560,49.32,71.09,94.59
GLC3556,38.8,55.74,88.05
GLC3633,4.8,24.3,137.58
GLC3637,11.36,20.12,77.93
GLC3663,71.48,100.86,158.15
GLC3662,36.45,52.27,120.85
GLC3672,6.74,72.92,89.13
GLC3683,8.97,22.32,192.31
GLC3738,26.7,84.29,124.79
GLC3741,4.0,22.07,145.11
GLC3760,9.46,23.69,41.57
GLC3776,153.89,176.72,191.42
GLC3789,40.04,196.5,209.43
GLC3806,96.6,148.75,334.54
GLC3805,51.99,156.02,308.08
GLC3830,8.15,97.81,239.69
GLC3837,29.97,63.94,142.6
GLC3840,11.87,47.68,124.27
GLC3860,5.26,21.86,109.18
GLC3881,108.68,133.73,221.57
GLC3912,8.76,31.52,183.03
GLC3916,22.93,40.73,154.08
GLC3925,92.34,138.93,183.9
GLC3965,86.23,93.53,108.69
GLC3983,12.38,86.32,152.74
GLC4241,0.05,3.29,11.59
GLC4313,47.63,69.58,80.61
GLC4377,30.67,55.03,129.88
GLC4378,12.24,31.75,32.65
GLC4382,156.61,286.02,308.62
GLC4385,4.67,12.79,32.53
GLC4394,16.08,37.33,91.31
GLC4393,2.73,8.27,28.41
GLC4403,15.84,46.46,93.54
GLC4407,92.17,145.8,161.59
GLC4408,15.24,43.04,103.48
GLC4424,24.72,40.53,225.56
GLC4426,47.13,93.73,184.57
GLC4435,15.95,96.52,214.65
GLC4436,9.68,101.15,215.08
GLC4434,153.4,177.84,342.82
GLC4446,35.87,61.03,84.63
GLC4556,42.77,150.87,252.22
GLC4570,75.32,100.72,260.73
GLC4610,0.0,1.0,63.3
GLC4757,26.03,30.92,31.09
GLC4798,5.8,34.54,47.21
GLC4845,50.54,157.55,322.83
GLC4858,46.01,119.29,224.79
GLC4859,46.01,119.29,224.79
GLC4857,105.63,234.21,454.23
GLC4860,63.57,124.13,277.1
GLC4892,21.86,48.31,97.65
GLC4906,20.71,64.75,79.49
GLC4905,34.45,69.15,86.76
GLC4908,9.35,55.17,138.28
GLC4990,41.7,67.31,107.52
GLC5006,34.46,61.43,122.27
GLC5005,39.02,74.02,191.38
GLC5084,49.71,65.14,107.94
GLC5087,49.71,65.14,107.94
GLC5107,11.43,44.83,113.9
GLC5122,62.08,69.08,146.2
GLC5123,62.08,69.08,146.2
GLC5250,11.8,42.4,167.71
GLC5271,33.49,50.73,115.0
GLC5268,29.73,50.14,115.0
GLC5269,8.28,46.78,90.47
GLC5270,29.73,50.14,115.0
GLC5273,29.73,50.14,115.0
GLC5272,29.73,49.49,115.0
GLC5274,29.73,50.14,115.0
GLC5275,29.73,50.14,115.0
GLC5300,5.89,25.38,98.9
GLC5312,26.04,46.51,149.63
GLC5427,67.71,94.66,121.9
GLC5338,69.51,95.43,186.03
GLC5337,42.55,65.82,190.75
GLC5336,42.55,65.82,190.75
GLC5343,27.57,40.19,121.58
GLC5421,4.5,13.98,86.01
GLC5431,1.37,4.52,75.66
GLC5430,2.17,2.89,39.14
GLC5429,7.77,26.57,138.05
GLC5442,54.96,63.88,229.74
GLC5441,44.5,81.02,235.24
GLC5476,5.8,17.19,56.89
GLC5552,11.03,23.0,27.53
GLC5575,26.8,33.82,53.76
GLC5582,37.74,130.77,153.12
GLC5603,0.6,0.99,76.9
GLC6015,73.31,102.99,125.8
GLC6016,99.48,167.84,239.99
GLC6105,3.31,36.68,144.56
GLC6106,10.57,60.16,242.83
GLC6107,10.57,60.16,242.83
GLC6110,50.26,62.86,210.09
GLC6143,33.67,81.27,93.23
GLC6513,161.4,192.03,208.41
GLC6200,8.27,142.97,339.85
GLC6288,140.95,184.04,199.95
GLC6283,142.46,184.62,199.95
GLC6286,161.1,212.24,224.1
GLC6284,140.95,193.45,206.46
GLC6287,142.46,193.23,206.78
GLC6285,140.95,193.45,206.46
GLC6292,91.62,405.6,446.79
GLC6290,310.72,452.77,537.41
GLC6222,0.9,11.88,93.08
GLC6293,0.0,0.11,37.75
GLC7591,1.08,1.08,1.08
GLC7031,8.49,13.27,24.94
GLC6971,20.95,129.98,284.15
GLC6968,69.67,262.34,847.76
GLC6969,63.27,105.04,471.11
GLC6970,63.27,105.04,471.11
GLC6963,108.56,161.33,176.13
GLC6945,11.81,12.71,187.13
GLC6990,40.12,103.61,215.38
GLC7214,157.18,169.48,197.9
GLC7263,34.06,48.79,180.01
GLC7264,38.16,51.53,180.01
GLC7253,64.61,113.22,194.09
GLC7265,38.16,51.53,180.01
GLC7266,44.62,62.34,173.51
GLC7279,43.67,92.11,178.0
GLC7276,55.04,69.86,167.72
GLC7364,50.9,56.64,74.07
GLC7372,38.93,51.04,90.86
GLC7370,91.72,205.49,248.52
GLC7385,69.04,177.18,226.42
GLC7369,91.72,205.49,248.52
GLC7383,69.04,187.77,238.55
GLC7373,65.14,119.57,163.17
GLC7389,85.18,154.02,193.21
GLC7371,69.04,177.18,226.42
GLC7388,85.18,156.27,199.05
GLC7374,59.35,95.34,120.45
GLC7409,8.72,69.74,82.05
GLC7666,5.67,41.82,80.9
GLC7664,5.07,59.5,106.13
GLC7665,5.07,56.86,106.57
GLC7660,65.11,87.25,107.07
GLC7887,0.8,4.85,24.55
GLC7335,71.88,74.51,85.44
GLC7334,8.41,20.22,60.45
GLC7701,3.84,7.94,41.02
GLC7699,6.19,11.57,28.97
GLC7589,90.69,96.07,110.63
GLC7590,67.04,73.11,93.6
GLC7706,32.32,33.84,77.95
GLC7336,99.43,137.5,178.78
GLC7727,24.54,30.47,38.38
GLC7728,10.62,230.04,372.61
GLC7780,98.12,179.62,303.74
GLC7778,73.2,219.23,297.31
GLC7836,104.12,199.11,289.34
GLC7933,42.17,133.9,179.45
GLC7923,27.19,184.95,247.0
GLC7956,42.89,79.39,254.9
GLC8012,36.76,95.35,248.84
GLC8224,25.2,63.68,106.15
GLC8223,25.2,63.68,106.15
GLC8339,79.94,140.41,153.89
GLC8366,97.76,156.33,210.86
GLC9405,20.58,40.8,66.74
GLC7655,35.29,62.61,86.98
GLC9404,21.93,97.18,134.9
GLC9335,179.29,194.93,289.19
GLC9338,179.29,190.72,318.01
GLC9334,179.29,194.93,289.19
GLC9168,7.9,74.1,109.94
GLC9142,31.86,109.21,188.66
GLC8222,19.65,28.65,198.75
GLC8237,52.63,133.52,156.74
GLC8900,1.42,15.23,126.71
GLC8684,27.36,66.62,203.09
GLC8901,26.95,39.79,115.84
GLC8930,6.18,34.37,120.09
GLC8995,3.82,23.8,132.67
GLC8996,6.18,23.8,181.34
GLC9051,11.62,103.64,154.97
GLC9124,64.57,119.86,224.53
GLC9186,10.78,28.53,51.25
GLC9219,52.21,78.94,139.68
GLC9251,22.21,66.36,135.62
GLC9232,8.79,51.98,86.98
GLC9252,45.8,107.11,153.25
GLC9464,17.31,27.33,72.67
LS1,151.37,157.17,227.06
GLC9620,1.11,48.78,118.39
GLC9619,0.42,48.78,121.61
LS2,17.62,28.11,67.13
LS3,22.4,102.5,110.07
LS5,21.04,189.77,244.78
LS6,206.15,347.27,365.6
LS7,206.15,347.27,365.6
LS8,206.15,347.27,365.6
LS9,204.86,337.88,350.53
LS10,206.15,347.27,365.6
LS11,206.15,347.27,365.6
LS12,194.64,318.97,358.0
LS13,206.15,347.27,365.6
LS14,3.4,273.03,432.09
LS15,236.52,364.88,426.9
LS16,236.52,364.88,426.9
LS17,15.12,28.87,135.3
LS18,51.77,115.03,215.7
LS19,51.77,115.03,215.7
NEG1,19.18,165.94,191.42
NEG2,23.1,93.28,126.62
NEG3,0.34,0.8,3.09
NEG4,8.11,14.82,45.81
NEG5,0.59,48.28,53.17
NEG6,15.74,17.3,17.3
NEG7,0.87,1.61,2.58
NEG8,0.14,0.69,0.81
NEG9,0.0,0.0,0.28
NEG10,4.92,4.96,8.17
NEG11,0.0,0.0,1.56
NEG12,5.88,5.88,6.11
NEG13,0.78,22.33,108.29
NEG14,0.01,0.4,13.22
NEG15,8.08,12.04,52.63
NEG16,34.66,43.56,92.98
NEG17,0.19,0.35,35.7
NEG18,3.35,70.42,100.22
NEG19,0.0,0.0,4.4
NEG20,0.0,0.43,0.44
NEG21,0.76,0.82,2.5
NEG22,0.0,0.0,0.0
NEG23,47.81,106.99,175.31
NEG24,3.2,5.5,23.17
NEG25,26.4,32.28,78.86
NEG26,0.3,1.38,1.64
NEG27,0.0,0.06,0.06
NEG28,0.25,0.27,8.55
NEG29,9.19,25.88,85.11
NEG30,0.61,1.69,13.69
NEG31,2.58,2.79,17.56
NEG32,0.0,0.16,0.7
NEG33,0.0,0.29,0.32
NEG34,165.76,268.16,279.87
NEG35,0.0,0.52,0.52
NEG36,0.0,2.98,2.98
NEG37,0.0,1.08,2.11
NEG38,3.68,6.01,21.64
NEG39,12.69,12.74,24.97
NEG40,0.05,0.05,3.64
NEG41,10.94,54.91,209.35
NEG42,62.12,83.7,114.74
NEG43,10.71,64.69,105.38
NEG44,5.62,30.54,38.34
NEG45,0.0,0.31,1.99
NEG46,18.41,56.42,88.1
NEG47,35.07,40.05,67.58
NEG48,5.47,7.03,8.41
NEG49,0.09,0.12,21.48
NEG50,0.0,0.13,4.71
NEG51,40.29,53.43,120.19
NEG52,2.11,100.16,184.83
NEG53,0.0,0.5,0.58
NEG54,0.4,14.88,62.19
NEG55,0.52,3.41,5.03
NEG56,84.72,84.85,85.9
NEG57,6.89,38.63,68.45
NEG58,1.99,7.17,96.13
NEG59,0.0,0.0,2.8
NEG60,0.0,6.64,6.64
NEG61,27.77,37.75,89.6
NEG62,1.13,6.05,15.1
NEG63,6.19,14.65,41.14
NEG64,4.65,9.32,11.41
NEG65,27.82,104.17,115.6
NEG66,0.44,11.21,11.25
NEG67,0.18,1.11,3.52
NEG68,40.18,40.23,42.71
NEG69,0.0,0.0,0.0
NEG70,1.13,28.0,52.13
NEG71,5.33,28.84,44.98
NEG72,4.21,6.48,7.82
NEG73,42.34,83.56,104.8
NEG74,2.97,75.3,94.39
NEG75,0.0,0.0,0.0
NEG76,27.75,34.35,147.93
NEG77,4.96,10.94,64.92
NEG78,4.3,7.84,47.22
NEG79,0.0,0.0,2.05
NEG80,0.69,0.7,0.7
NEG81,29.56,94.81,116.99
NEG82,2.28,2.28,6.05
NEG83,2.23,29.45,125.62
NEG84,28.28,52.56,106.97
NEG85,10.99,13.13,13.37
NEG86,15.78,60.39,102.92
NEG87,28.81,32.66,57.72
NEG88,13.03,15.29,16.66
NEG89,0.47,1.28,6.19
NEG90,7.25,32.33,45.98
NEG91,0.0,41.61,170.54
NEG92,0.5,0.5,0.5
NEG93,0.0,0.0,0.0
NEG94,0.22,0.22,0.22
NEG95,0.0,0.0,0.0
NEG96,6.74,6.74,17.51
NEG97,1.72,11.8,18.71
NEG98,0.41,0.41,15.46
NEG99,0.51,10.46,14.91
NEG100,0.12,0.57,0.87
NEG101,4.74,20.24,36.86
NEG102,8.68,32.35,80.02
NEG103,0.01,62.22,102.05
NEG104,0.14,5.0,8.6
NEG105,0.0,0.0,4.88
NEG106,6.22,31.39,61.08
NEG107,0.0,0.0,15.25
NEG108,0.0,4.72,5.57
NEG109,0.4,0.4,2.8
NEG110,0.0,2.33,3.7
NEG111,30.67,42.89,49.16
NEG112,46.37,74.63,107.64
NEG113,0.0,0.0,0.01
NEG114,0.7,0.7,6.13
NEG115,0.0,0.04,0.04
NEG116,160.67,288.59,324.48
NEG117,0.21,12.95,12.95
NEG118,11.11,87.71,203.89
NEG119,11.17,16.53,33.77
NEG120,3.35,6.16,11.76
NEG121,12.59,20.16,45.16
NEG122,0.0,1.03,2.78
NEG123,24.57,63.0,83.65
NEG124,39.01,44.76,58.66
NEG125,42.41,80.51,224.76
NEG126,0.0,0.0,0.01
NEG127,1.03,1.28,2.33
NEG128,22.22,40.8,112.05
NEG129,36.82,91.38,138.6
NEG130,59.66,126.15,132.94
NEG131,0.08,0.08,0.08
NEG132,0.0,0.0,0.07
NEG133,6.61,6.61,6.67
NEG134,32.33,91.55,141.55
NEG135,0.0,0.0,11.9
NEG136,0.0,0.03,0.38
NEG137,2.95,2.97,2.98
NEG138,0.0,0.84,0.84
NEG139,0.0,0.0,0.0
NEG140,3.81,34.77,39.72
NEG141,4.04,5.76,7.85
NEG142,0.73,1.04,15.02
NEG143,0.0,2.86,2.86
NEG144,2.86,3.69,9.22
NEG145,1.42,17.1,17.64
NEG146,0.03,1.66,1.66
NEG147,3.55,42.45,71.95
NEG148,0.0,0.0,0.16
NEG149,3.18,10.14,25.87
NEG150,23.65,49.11,64.43
NEG151,0.0,3.01,3.01
NEG152,0.03,4.14,4.14
NEG153,0.0,8.35,12.11
NEG154,4.35,14.21,28.75
NEG155,0.0,0.04,1.17
NEG156,1.63,6.09,27.22
NEG157,4.13,4.92,46.35
NEG158,0.01,0.01,0.01
NEG159,1.32,1.85,2.44
NEG160,0.0,0.0,0.0
NEG161,34.73,40.41,59.18
NEG162,0.05,0.05,1.19
NEG163,0.9,3.88,15.62
NEG164,4.96,21.6,26.29
NEG165,14.88,16.55,28.87
NEG166,0.77,3.56,3.57
NEG167,1.17,2.32,14.87
NEG168,1.48,2.82,6.17
NEG169,0.0,0.0,0.0
NEG170,16.11,32.6,59.42
NEG171,2.15,13.53,64.22
NEG172,0.0,0.0,0.0
NEG173,0.08,1.51,27.13
NEG174,39.33,93.89,137.55
NEG175,0.0,0.0,1.24
NEG176,0.0,0.0,1.98
NEG177,0.01,0.01,0.01
NEG178,3.1,13.73,101.83
NEG179,0.0,0.0,0.0
NEG180,0.13,30.76,155.34
NEG181,0.0,0.0,0.01
NEG182,0.0,0.0,0.0
NEG183,43.29,63.72,103.99
NEG184,1.12,45.1,61.51
NEG185,108.75,134.36,203.96
NEG186,4.85,17.27,67.25
NEG187,1.05,2.13,3.21
NEG188,12.99,13.64,46.87
NEG189,25.69,39.5,73.29
NEG190,8.56,8.56,8.56
NEG191,34.68,35.35,35.35
NEG192,0.0,0.0,9.07
NEG193,6.33,36.58,65.74
NEG194,0.0,0.0,0.0
NEG195,49.35,68.01,156.71
NEG196,5.91,9.95,9.95
NEG197,0.63,1.09,4.1
NEG198,21.07,118.31,129.25
NEG199,6.17,31.52,94.78
NEG200,44.62,46.53,101.09
NEG201,4.8,4.86,14.23
NEG202,0.65,2.6,3.15
NEG203,0.01,0.05,5.0
NEG204,1.59,1.59,3.72
NEG205,7.43,19.93,53.9
NEG206,123.75,174.76,264.46
NEG207,3.39,3.46,11.76
NEG208,2.27,46.89,59.54
NEG209,0.0,7.69,88.38
NEG210,6.64,6.73,7.21
NEG211,3.38,12.04,12.46
NEG212,1.08,11.18,19.55
NEG213,0.0,65.48,82.99
NEG214,5.13,12.3,31.93
NEG215,6.49,99.51,119.21
NEG216,24.48,64.13,109.88
NEG217,0.0,0.0,0.05
NEG218,5.29,9.8,49.75
NEG219,23.22,33.91,71.71
NEG220,3.32,17.68,38.78
NEG221,12.04,26.49,67.37
NEG222,0.0,24.81,35.3
NEG223,14.89,31.43,142.27
NEG224,1.76,2.23,9.57
NEG225,16.11,42.64,99.12
NEG226,0.17,0.37,0.66
NEG227,0.0,0.13,84.68
NEG228,0.19,0.19,0.43
NEG229,10.21,19.07,54.54
NEG230,1.61,1.61,9.14
NEG231,1.48,3.17,25.19
NEG232,0.0,0.0,6.12
NEG233,16.61,34.8,35.78
NEG234,22.7,66.96,80.43
NEG235,0.19,0.19,0.19
NEG236,2.46,7.07,11.18
NEG237,36.57,85.01,125.39
NEG238,0.0,0.43,0.43
NEG239,4.23,8.61,154.38
NEG240,0.0,5.7,27.68
NEG241,0.24,17.25,17.29
NEG242,26.62,87.81,155.89
NEG243,16.55,17.03,28.34
NEG244,0.0,0.0,1.03
NEG245,6.8,8.45,8.45
NEG246,0.0,0.21,0.21
NEG247,0.54,0.54,1.92
NEG248,4.6,10.99,47.62
NEG249,44.09,45.78,80.61
NEG250,12.51,33.06,62.87
NEG251,0.0,0.0,0.01
NEG252,0.07,1.36,8.3
NEG253,0.19,0.94,7.05
NEG254,0.0,0.22,0.23
NEG255,30.74,58.56,88.7
NEG256,0.65,1.67,2.48
NEG257,4.31,14.83,52.24
NEG258,0.09,7.28,10.89
NEG259,0.6,0.6,44.48
NEG260,10.04,21.39,106.27
NEG261,0.59,2.31,3.15
NEG262,14.28,38.27,88.09
NEG263,0.0,11.64,20.82
NEG264,15.25,26.27,46.42
NEG265,0.0,0.0,0.0
NEG266,42.56,51.28,52.61
NEG267,0.4,0.4,1.8
NEG268,0.12,0.12,0.54
NEG269,3.95,15.63,19.15
NEG270,0.0,14.27,18.49
NEG271,0.0,0.0,0.51
NEG272,0.0,5.59,9.91
NEG273,2.92,10.25,13.31
NEG274,1.58,2.58,28.34
NEG275,1.24,1.75,24.89
NEG276,2.84,11.38,26.09
NEG277,8.92,10.75,26.81
NEG278,5.02,29.3,32.0
NEG279,10.24,75.36,180.75
NEG280,3.32,10.73,20.67
NEG281,11.93,42.25,48.33
NEG282,0.0,0.0,6.24
NEG283,0.0,0.0,0.0
NEG284,0.0,0.0,2.58
NEG285,31.68,31.83,125.14
NEG286,0.0,2.1,4.1
NEG287,36.33,79.13,114.19
NEG288,0.0,14.85,107.82
NEG289,0.0,0.0,0.12
NEG290,0.0,0.0,0.01
NEG291,0.0,34.6,60.35
NEG292,53.95,69.17,77.72
NEG293,0.0,7.3,12.47
NEG294,2.62,10.0,26.92
NEG295,12.59,31.28,49.73
NEG296,1.2,2.4,2.4
NEG297,0.0,0.0,0.0
NEG298,11.64,12.0,14.8
NEG299,12.85,38.99,83.19
NEG300,15.66,43.02,72.18
NEG301,6.52,59.23,108.34
NEG302,3.27,28.08,64.74
NEG303,11.27,11.32,31.87
NEG304,0.5,0.5,1.14
NEG305,0.0,0.0,0.0
NEG306,0.0,0.0,0.0
NEG307,0.56,17.97,18.0
NEG308,4.36,7.01,14.66
NEG309,0.55,1.57,5.07
NEG310,0.39,3.09,80.67
NEG311,8.42,64.72,84.87
NEG312,23.8,132.44,162.88
NEG313,20.16,79.63,206.41
NEG314,2.21,3.93,23.71
NEG315,3.26,3.26,6.61
NEG316,0.0,0.0,0.02
NEG317,39.84,62.23,64.39
NEG318,14.31,20.47,25.76
NEG319,0.0,0.0,0.04
NEG320,9.49,9.49,9.78
NEG321,3.34,11.52,11.69
NEG322,5.42,43.41,132.93
NEG323,18.52,42.18,50.94
NEG324,23.71,47.7,89.79
NEG325,0.04,8.36,8.45
NEG326,0.17,0.94,3.11
NEG327,9.11,15.86,29.61
NEG328,5.24,5.51,8.76
NEG329,12.33,16.85,23.83
NEG330,4.63,107.19,130.01
NEG331,0.38,0.67,4.63
NEG332,4.68,77.67,113.38
NEG333,3.28,3.96,3.96
NEG334,29.3,29.93,50.64
NEG335,5.49,13.83,54.78
NEG336,0.0,0.09,4.63
NEG337,1.93,10.91,13.12
NEG338,1.25,2.54,5.38
NEG339,5.28,5.28,8.74
NEG340,0.43,0.44,1.61
NEG341,22.96,77.58,100.05
NEG342,31.85,67.62,85.33
NEG343,1.44,1.44,1.44
NEG344,76.25,205.91,256.24
NEG345,2.4,3.3,4.29
NEG346,0.0,4.82,6.73
NEG347,7.75,22.13,53.53
NEG348,15.75,25.47,33.45
NEG349,13.21,14.91,14.91
NEG350,0.0,0.53,1.3
NEG351,15.81,27.6,93.16
NEG352,33.35,47.43,180.39
NEG353,0.72,1.22,1.49
NEG354,0.0,0.59,2.5
NEG355,5.81,10.65,10.91
NEG356,11.27,35.24,65.44
NEG357,27.22,54.37,99.01
NEG358,9.81,54.69,111.02
NEG359,0.04,0.49,0.85
NEG360,5.34,19.3,130.43
NEG361,20.05,26.23,48.11
NEG362,0.48,1.73,3.97
NEG363,2.75,56.87,108.4
NEG364,0.0,0.0,0.0
NEG365,52.48,110.96,120.01
NEG366,1.06,1.08,1.08
NEG367,2.3,38.97,93.14
NEG368,14.29,59.75,81.35
NEG369,0.25,13.5,55.01
NEG370,22.17,27.72,136.68
NEG371,0.0,0.0,3.77
NEG372,12.74,70.03,70.3
NEG373,4.36,4.36,5.82
NEG374,0.0,0.06,0.06
NEG375,3.32,31.79,56.96
NEG376,45.58,51.97,92.67
NEG377,70.69,97.27,116.54
NEG378,2.05,2.51,7.15
NEG379,33.23,39.14,57.8
NEG380,0.06,1.35,4.33
NEG381,1.57,3.13,5.27
