id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source,label,elevation,slope,aspect,slope_max_nbhd,slope_mean_nbhd,relief_nbhd,dist_to_road_m,ndvi,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,soil_moisture_surface,soil_moisture_subsurface,vv_anomaly,factor_of_safety
GLC57,2007-04-11,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,0.0,landslide,downpour,Sikkim,5km,nasa_glc,1,1941,20,176,38,20.40364303616183,229,1014.0437179707756,6008.333333333333,2.2649999354034662,17.91999939735979,28.099999265745282,39.05699901282787,50.17699881270528,,,,0.8194166200326815
GLC78,2007-05-23,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,0.0,landslide,rain,Sikkim,50km,nasa_glc,1,1499,15,268,40,21.88730848490278,254,91.64443217769026,5911.5,2.0099999345839024,8.15499977953732,23.56999932974577,81.70999799948186,119.96249721199274,,,,0.7776488575672658
GLC126,2007-07-16,Bardang near Singtam,27.1499,88.38,0.0,mudslide,rain,Sikkim,25km,nasa_glc,1,1114,27,7,48,30.424149266793076,361,264.4275771947278,4652.666666666667,27.49499968905002,88.82499847840518,150.52499745879322,240.4984954642132,424.3684908533469,,,,0.6502529605228045
GLC141,2007-07-26,Singtam,25.38,91.88,0.0,landslide,rain,Meghalaya,50km,nasa_glc,1,1302,33,86,52,33.984778918346194,391,612.0603609866272,4698.0,240.88999271392822,328.1299909129739,412.5299890190363,858.6949762441218,942.6389745250344,,,,0.6058408868937004
GLC147,2007-07-30,Lawngtlai,22.533,92.899,0.0,landslide,downpour,Mizoram,25km,nasa_glc,1,808,11,11,34,16.631528688381408,121,89.02816107066587,4785.0,8.35499978531152,53.56499856337905,104.65499701816589,339.984990471974,390.91248937975615,,,,0.9188098560839355
GLC148,2007-07-30,Saiha,22.479,92.967,0.0,landslide,downpour,Mizoram,25km,nasa_glc,1,450,24,114,44,24.224110814683627,201,55.4391057777614,5671.666666666667,8.999999707564712,28.57499918807298,71.91999818664044,403.9449886670336,486.9994865730405,,,,0.7068387710212181
GLC212,2007-08-26,National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506,0.0,complex,rain,Meghalaya,unknown,nasa_glc,1,1687,6,14,31,8.694128486282363,56,187.6785265050116,4554.0,1.6099999248981476,33.81499891076237,123.02499692607671,175.77499573212117,401.4704905562103,,,,1.0108602112162877
GLC213,2007-08-26,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,0.0,landslide,rain,Assam,unknown,nasa_glc,1,902,10,324,35,14.087728298789257,157,12304.401166804533,7668.0,30.93499904125929,90.05499733239412,111.17499680817127,152.24499581940472,323.5449908096343,,,,0.8917264854581592
GLC215,2007-08-28,Phesema area at National Highway 39,25.7428,93.9136,1.0,landslide,rain,Nagaland,50km,nasa_glc,1,473,21,346,39,17.23026076685444,157,1816.6411632224679,6801.0,13.39999969303608,53.83999868109822,83.58499782998115,139.41499646473676,222.31549458950758,,,,0.797946833385754
GLC220,2007-08-31,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,0.0,landslide,rain,Manipur,25km,nasa_glc,1,1012,3,190,33,6.883165355948451,82,208.79402671667768,6299.0,41.3849985152483,92.7449968373403,154.22999555245042,196.25499429553747,244.56699327658862,,,,0.9475905605077413
