id,location,lat,lon,state
GLC57,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,Sikkim
GLC78,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,Sikkim
GLC126,Bardang near Singtam,27.1499,88.38,Sikkim
GLC141,Singtam,25.38,91.88,Meghalaya
GLC147,Lawngtlai,22.533,92.899,Mizoram
GLC148,Saiha,22.479,92.967,Mizoram
GLC212,National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506,Meghalaya
GLC213,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,Assam
GLC215,Phesema area at National Highway 39,25.7428,93.9136,Nagaland
GLC220,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,Manipur
GLC247,"Lower Shajouba village near Tadubi along NH 39, Manipur",25.0604,93.9877,Manipur
GLC256,Rhodong village near Rhey in East Sikkim,27.3425,88.6236,Sikkim
GLC255,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,24.2451,94.0691,Manipur
GLC258,"NH-39 at Imphal-Moreh section, Lokchao largest event",24.4279,94.0564,Manipur
GLC269,Geyzing-Jorethang road and Naya Bazar-Legship road,27.2872,88.2816,Sikkim
GLC285,"National Highway, 45 Aizwal (Mizoram)",24.1293,92.6921,Mizoram
GLC322,National Highway 53 at Nungba in Tamenglong district of Manipur,24.75,93.4333,Assam
GLC545,"A Cachar District village, near village of Srinager, Assam",24.9849,92.8411,Assam
GLC580,"near Kuloor church, in Manipur along National Highway",24.6596,93.9784,Manipur
GLC585,"Itanagar-Naharlagun, Arunachal Pradesh",27.0998,93.6287,Arunachal Pradesh
GLC587,"Lakhimpur district, Bihpuria, Assam",27.2298,94.0989,Assam
GLC594,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",24.9336,93.8275,Manipur
GLC692,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",25.705,94.04,Nagaland
GLC714,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunacha",27.163,94.0,Assam
GLC731,"Akuk village, Wokha District, Nagaland",26.138,94.25,Nagaland
GLC755,"Ranka, Sikkim and Louing road",27.337,88.609,Sikkim
GLC760,"Kohima, Nagaland",25.67,94.1066,Nagaland
GLC870,"West Kameng, Arunachal Pradesh",27.4,92.35,Arunachal Pradesh
GLC869,North Lakhimpur,27.2333,94.1167,Assam
GLC868,"Kamrup, and Sonitpur, Assam",26.3333,91.25,Assam
GLC1061,"4th Mile, Lower Mangshila in North Sikkim",27.478,88.527,Sikkim
GLC1084,"Upper Subansiri District, Arunanchal Pradesh",27.7,92.8,Arunachal Pradesh
GLC1109,Lumding-Badarpur section in North Cachar Hills district,25.5215,93.1645,Assam
GLC1112,"NH31A, Mile 27 near Rambi",27.1761,88.5287,Sikkim
GLC1108,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",24.9925,93.5,Assam
GLC1125,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim",27.3746,88.7648,Sikkim
GLC1127,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),25.1718,93.123,Assam
GLC1129,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",24.8628,94.4182,Manipur
GLC1168,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",27.1954,88.6115,Sikkim
GLC1222,"Chhinga Veng, Aizawl",23.73478778,92.72124394,Mizoram
GLC1596,"LangthAbal Khoupum, Imphal, Manipur",24.7339,93.9161,Manipur
GLC1611,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could onl",25.1553,93.028,Assam
GLC1613,"Koloriang, Kuring Kumey district, Arunachal Pradesh",27.8997,93.3497,Arunachal Pradesh
GLC1755,"Natl. Highway 31-A at Pani House(?), Gangtok",27.3341,88.6083,Sikkim
GLC1756,"Nam Nang, Gangtok",27.322,88.6087,Sikkim
GLC1771,"Raj Bhavan Guwahati, Assam",26.1978,91.7665,Assam
GLC1770,"Kharghuli, Guwahati, Assam",26.1965,91.763,Assam
GLC1775,Arunachal Pradesh,27.8965,96.1779,Arunachal Pradesh
GLC1857,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",25.3433,92.2897,Meghalaya
GLC1930,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh",28.4298,95.8776,Arunachal Pradesh
GLC1929,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",27.3543,88.6428,Sikkim
GLC1935,"atharamura hills, Highway 44, Tripura",23.8986,91.7599,Tripura
GLC1934,Rongpur village under Bhairabhnagar panchayat in Karimganj district,24.6005,92.3814,Assam
GLC1954,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",24.7543,93.5039,Manipur
GLC1961,"Ishok Chingphu(?), Bishnupur, Assam",25.8833,91.2,Meghalaya
GLC1994,"rails between Jatinga and Longrangjao(?), Assam",25.0633,92.8025,Assam
GLC1996,"Shayoung Ward(?), Longleng, Nagaland",26.4333,94.8833,Nagaland
GLC2025,"Police CID complex(?), Shillong, Meghalaya",25.5728,91.885,Meghalaya
GLC2026,"Borsorsa(?), West Khasi Hills, Meghalaya",25.4916,91.2698,Meghalaya
GLC2045,"Tuensang, Nagaland",26.2363,94.8133,Nagaland
GLC2044,"Kiphire,  Nagaland",25.8877,94.7861,Nagaland
GLC2042,"Zunheboto, Nagaland",26.0093,94.5238,Nagaland
GLC2098,"Jahjon ward(?), Mon town, Nagaland",26.7215,95.0283,Nagaland
GLC2106,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",26.8716,94.9921,Nagaland
GLC2113,"Singtam-Mangan rd, Sikkim",27.3773,88.559,Sikkim
GLC2112,"Zang(?), east Sikkim",27.5509,88.6475,Sikkim
GLC2140,"road between Halfong and Redzol(?) or Silchar, Assam",25.0477,92.801,Assam
GLC2164,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677,Manipur
GLC2166,"Highway 53 at Tupul, Tamenglong district",24.9786,93.5027,Assam
GLC2182,Dimapur-Imphal highway (NH 39) near Manipur,24.9356,93.8443,Manipur
