id,date,location,lat,lon,fatalities,type,trigger,state,location_accuracy,source
GLC57,2007-04-11,"Sikkim, 13 km north of Gangtok",27.4459,88.6193,0,landslide,downpour,Sikkim,5km,nasa_glc
GLC78,2007-05-23,"Pangthang, on road b/t Gangtok and North Sikkim",27.3383,88.6069,0,landslide,rain,Sikkim,50km,nasa_glc
GLC126,2007-07-16,Bardang near Singtam,27.1499,88.38,0,mudslide,rain,Sikkim,25km,nasa_glc
GLC141,2007-07-26,Singtam,25.38,91.88,0,landslide,rain,Meghalaya,50km,nasa_glc
GLC147,2007-07-30,Lawngtlai,22.533,92.899,0,landslide,downpour,Mizoram,25km,nasa_glc
GLC148,2007-07-30,Saiha,22.479,92.967,0,landslide,downpour,Mizoram,25km,nasa_glc
GLC212,2007-08-26,National Highway No 44 at Sonarpur in Meghalaya,25.5576,91.8506,0,complex,rain,Meghalaya,unknown,nasa_glc
GLC213,2007-08-26,Shillong Road at Kuliang in the Jaintia Hills,25.2946,92.8339,0,landslide,rain,Assam,unknown,nasa_glc
GLC215,2007-08-28,Phesema area at National Highway 39,25.7428,93.9136,1,landslide,rain,Nagaland,50km,nasa_glc
GLC220,2007-08-31,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",25.1333,93.9667,0,landslide,rain,Manipur,25km,nasa_glc
GLC247,2007-09-08,"Lower Shajouba village near Tadubi along NH 39, Manipur",25.0604,93.9877,0,landslide,rain,Manipur,50km,nasa_glc
GLC256,2007-09-10,Rhodong village near Rhey in East Sikkim,27.3425,88.6236,0,landslide,rain,Sikkim,10km,nasa_glc
GLC255,2007-09-10,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,24.2451,94.0691,0,landslide,rain,Manipur,25km,nasa_glc
GLC258,2007-09-11,"NH-39 at Imphal-Moreh section, Lokchao largest event",24.4279,94.0564,3,landslide,rain,Manipur,50km,nasa_glc
GLC269,2007-09-18,Geyzing-Jorethang road and Naya Bazar-Legship road,27.2872,88.2816,0,landslide,rain,Sikkim,50km,nasa_glc
GLC285,2007-09-29,"National Highway, 45 Aizwal (Mizoram)",24.1293,92.6921,0,landslide,rain,Mizoram,50km,nasa_glc
GLC322,2007-10-21,National Highway 53 at Nungba in Tamenglong district of Manipur,24.75,93.4333,0,landslide,rain,Assam,25km,nasa_glc
GLC545,2008-05-20,"A Cachar District village, near village of Srinager, Assam",24.9849,92.8411,5,mudslide,mining,Assam,50km,nasa_glc
GLC580,2008-06-09,"near Kuloor church, in Manipur along National Highway",24.6596,93.9784,0,landslide,monsoon,Manipur,unknown,nasa_glc
GLC585,2008-06-14,"Itanagar-Naharlagun, Arunachal Pradesh",27.0998,93.6287,21,landslide,rain,Arunachal Pradesh,25km,nasa_glc
GLC587,2008-06-15,"Lakhimpur district, Bihpuria, Assam",27.2298,94.0989,17,landslide,downpour,Assam,25km,nasa_glc
GLC594,2008-06-19,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",24.9336,93.8275,0,mudslide,monsoon,Manipur,25km,nasa_glc
GLC692,2008-08-07,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",25.705,94.04,0,landslide,downpour,Nagaland,10km,nasa_glc
GLC714,2008-08-14,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunacha",27.163,94.0,0,landslide,rain,Assam,50km,nasa_glc
GLC731,2008-08-19,"Akuk village, Wokha District, Nagaland",26.138,94.25,4,mudslide,downpour,Nagaland,50km,nasa_glc
GLC755,2008-08-28,"Ranka, Sikkim and Louing road",27.337,88.609,0,landslide,downpour,Sikkim,25km,nasa_glc
GLC760,2008-08-29,"Kohima, Nagaland",25.67,94.1066,0,complex,downpour,Nagaland,25km,nasa_glc
GLC870,2008-10-29,"West Kameng, Arunachal Pradesh",27.4,92.35,12,mudslide,downpour,Arunachal Pradesh,50km,nasa_glc
GLC869,2008-10-29,North Lakhimpur,27.2333,94.1167,0,landslide,downpour,Assam,50km,nasa_glc
GLC868,2008-10-29,"Kamrup, and Sonitpur, Assam",26.3333,91.25,7,landslide,downpour,Assam,50km,nasa_glc
